url,server_jsonld,js_jsonld,has_product,has_offer,identifiers,ident_gtin,ident_brand_mpn,policies,policy_structured,policy_link,policy_structured_on_policy_page,specs_units,productgroup,product_score,family_score,has_rating,rating_value,rating_count,rating_value_fallback,rating_count_fallback,rating_source_fallback,error
https://www.clasohlson.com/se/3-vags-grenuttag-CEE-Schuko/p/36-3292,1,0,1,1,0,0,0,1,0,1,0,0,0,65,0,1,5.0,2,,,,
https://www.kjell.com/se/produkter/el-verktyg/starkstrom/grenuttag/luxorparts-grenuttag-med-brytare-3-vags-p37361,1,0,1,1,0,0,0,1,0,1,0,0,0,65,0,0,,,4.5,0,inline_js,
https://www.byggmax.se/grenuttag-p29770,1,1,1,1,0,0,0,1,0,1,0,0,0,65,0,0,,,,,,
https://www.bygghemma.se/hus-och-bygg/elmaterial-och-energi/elartiklar-och-elprodukter/grenuttag/svarta-grenuttag/,1,0,0,0,0,0,0,1,0,1,0,0,0,30,0,0,,,,,,
https://www.rusta.com/sv-se/gor-det-sjalv/el-och-klimat/sladdar-och-grenuttag/grenuttag-3-vags-14-m-ip44-outdoor,1,0,1,1,0,0,0,1,0,1,0,0,0,65,0,1,4.9,13,,,,
https://www.elgiganten.se/product/hem-hushall-tradgard/belysning-elprodukter/elektrisk-utrustning/grenuttag/nedis-smartlife-smart-plug-wi-fi-ip21-strommatare-2500-w-jordad-kontakt-typ-f-cee-77-10-40-c-androidac-ios-vit-1-st/229089,1,0,1,1,1,1,1,1,0,1,0,0,0,85,0,0,,,,,,
https://www.netonnet.se/art/hem-fritid/el-batterier/grenuttag/on-splitter-plug-2-way-grounded-eu/1003902.13732/,1,0,1,1,1,1,1,1,1,1,0,0,0,85,0,1,4.3,35,,,,
https://www.biltema.se/bygg/elinstallationer/cee-don/grenuttag-jordat-25-m-2000044748,0,1,1,1,1,0,1,1,0,1,0,0,0,72,0,0,,,,,,
https://k-bygg.se/produkt/grenuttag-gelia-3-vags-jordad-vit-15m-kabel-petskyddad/7319539256110,1,0,1,1,1,1,0,1,0,1,0,0,0,85,0,0,,,,,,
https://www.hornbach.se/p/grenuttag-3-vags-1m-cee-400v-schuko-230v/7716295/,1,0,1,1,1,1,0,1,0,1,0,0,0,85,0,0,,,,,,
https://www.clasohlson.com/se/Automatisk-slangvinda-for-vagg%2C-svangbar%2C-25-meter/p/31-6379,1,0,1,1,0,0,0,1,0,1,0,0,0,65,0,1,4.5,489,,,,
https://www.kjell.com/no/produkter/elektro-og-verktoy/elektrisk-installasjon/krympeslanger/luxorparts-krympeslangeutvalg-40-stk-rod-p40146,1,0,1,1,0,0,0,1,0,1,0,0,0,65,0,0,,,4.5,0,inline_js,
https://www.byggmax.se/packning-till-duschslang-gummi-18mm-gelia-p68724062,1,1,1,1,0,0,0,1,0,1,0,0,0,65,0,0,,,,,,
https://www.bygghemma.se/tradgard-och-utemiljo/tradgardsmaskiner/hogtryckstvatt/hogtryck-bigboi-washr-flo-420-l-och-t-180-bar-8m-slang/p-2053627,1,0,1,1,1,0,1,1,0,1,0,0,0,77,0,0,,,,,,
https://www.mekonomen.se/reservdelar/chassi/styrning/servoslangar,1,0,0,0,0,0,0,1,0,1,0,0,0,30,0,0,,,,,,
https://www.rusta.com/sv-se/fritid/husdjur/hundklader/regnjacka-hund-aret-runt-xss-2535-cm-blandade-farger-pu,1,0,1,1,0,0,0,1,0,1,0,0,0,65,0,1,4.6,63,,,,
https://www.elgiganten.se/product/vitvaror/tillbehor-till-vitvaror/tillbehor-till-tvattmaskiner-torktumlare/nordic-quality-slanganslutning-8mm-a352274/A352274,1,0,1,1,1,1,1,1,0,1,0,0,0,85,0,0,,,,,,
https://www.netonnet.se/art/hem-fritid/tradgard/bevattningtradgard/gardena-plattslang-kit-38mm-1-12-10m/1033091.16036/,1,0,1,1,1,1,1,1,1,1,0,0,0,85,0,1,2,1,,,,
https://www.biltema.se/en-se/leisure/domestic-pets/dogs/dog-toys/grunting-dog-toys-2000032514,0,1,1,1,1,0,1,1,0,1,0,0,0,72,0,0,,,,,,
https://k-bygg.se/produkt/slangkoppling-senco-20c-id-8mm-10m/8715274171074,1,0,1,1,1,1,0,1,0,1,0,0,0,85,0,0,,,,,,
